Phase,Step ID,Milestone Title,Category,Technical Details,Key Deliverables,Testing Method,Status
"Phase 1","STEP-01","Project Architecture & Foundation Scaffold","Foundation & Tooling","Initialized Next.js 16 (App Router) with React 19, TypeScript 5.7, Tailwind CSS v4, Lucide icons, and modern module path aliasing (@/*). Established responsive grid layouts and dark/light color schemes.","package.json, tsconfig.json, app/layout.tsx, app/globals.css","npm run build & compilation validation","Completed"
"Phase 1","STEP-02","Domain Entity Modeling & TypeScript Contracts","Data Architecture","Authored strongly typed interfaces for Employee, AttendanceRecord, CorrectionRequest, LeaveRequest, LeaveBalance, and Role (employee, manager, hr, payroll). Defined immutable status enums.","lib/types.ts, lib/mock-data.ts","npx tsc --noEmit strict type checking","Completed"
"Phase 2","STEP-03","Interactive Attendance Marking & Clock Engine","Frontend & Logic","Engineered real-time Punch-In / Punch-Out clock widget with elapsed hour timer, GPS location mock/capture, IP address tracking, automated shift tagging, and auto-determination of late arrival status (>09:15 AM).","components/attendance/views/employee-view.tsx, components/attendance/clock-widget.tsx","Interactive UI punch tests across shifts","Completed"
"Phase 2","STEP-04","Muster Roll & Monthly Attendance Matrix","Frontend & Reporting","Built calendar grid rendering monthly presence (Present, Half-Day, Late Mark, WFH, Absent, On-Leave). Implemented multi-filter timesheet with search, date range picking, and Excel/CSV data export.","components/attendance/views/employee-view.tsx, lib/mock-data.ts","Visual audit across 31 days calendar edge cases","Completed"
"Phase 2","STEP-05","Attendance Regularization / Correction Workflow","Workflow & Forms","Implemented modal form allowing employees to submit attendance corrections with reasons (Forgot to punch, biometric failure, client visit) and proposed clock-in/out timestamps.","components/attendance/store.tsx, app/api/corrections/route.ts","Form validation & correction creation check","Completed"
"Phase 2","STEP-06","Statutory Leave Application & Quota Management","HR Management","Created leave application drawer tracking Casual Leave (CL), Sick Leave (SL), and Earned Leave (EL) quotas. Built balance decrement logic and visual quota health indicators.","components/attendance/store.tsx, app/api/leaves/route.ts","Leave balance math check on submit","Completed"
"Phase 3","STEP-07","Statutory Payroll Calculation Engine & Indian Labor Rules","Payroll Engine","Formulated statutory payroll rules: (1) 3 late marks = 0.5 day Loss of Pay (LOP) penalty; (2) Half-day = 0.5 payable day; (3) Approved paid leave = 1.0 payable day; (4) Non-negative clamping of payable days.","lib/server/attendance-db.ts, test/payroll-math.test.ts","Automated test suite (11 unit tests)","Verified"
"Phase 3","STEP-08","Statutory Payroll Math Automated Test Suite","Testing & QA","Configured Node.js native test runner (node --test --experimental-strip-types) executing 11 isolated unit test suites verifying base pay, late mark tiers, unpaid leaves, and multi-factor scenarios.","test/payroll-math.test.ts, package.json (npm test)","npm test (11/11 tests pass with 0 failures)","Verified"
"Phase 3","STEP-09","Server-Side Period Locking & Payroll Summary API","Backend & Finance","Built /api/payroll endpoint computing dynamic salary registers and an immutable period lock mechanism (POST /api/payroll { locked: true }) to prevent retro-active attendance tampering.","app/api/payroll/route.ts, components/attendance/views/payroll-view.tsx","E2E API test for period lock & unlock","Completed"
"Phase 4","STEP-10","Four Dedicated Role Workspaces & Tab Gating","Frontend UI/UX","Constructed isolated dashboards: (1) Employee Portal; (2) Manager Portal with team muster & approvals; (3) HR Admin Command with directory & muster register; (4) Payroll Officer Workspace with salary math.","components/attendance/role-workspace.tsx, components/attendance/portal-shell.tsx","Multi-role responsive UI rendering tests","Completed"
"Phase 4","STEP-11","Mobile & Tablet Responsive Polish","Frontend UI/UX","Ensured tables, action bars, and navigation tabs feature horizontal overflow scrolling (overflow-x-auto, min-w-[650px]) and touch-friendly controls across small viewport screens (<380px).","components/attendance/views/payroll-view.tsx, components/attendance/views/hr-view.tsx","Viewport emulation on mobile and tablet devices","Completed"
"Phase 5","STEP-12","Supabase Cloud PostgreSQL Architecture & Schema DDL","Database Cloud","Designed 6 normalized relational tables: employees, attendance_records, correction_requests, leave_requests, leave_balances, and payroll_locks with foreign keys, cascades, and composite indexes.","supabase/schema.sql","SQL DDL execution in Supabase Cloud SQL Editor","Completed"
"Phase 5","STEP-13","Supabase Client & Bidirectional Snake/Camel Mappers","Database Integration","Integrated @supabase/supabase-js with type-safe schema interfaces. Implemented data transformation mappers bridging PostgreSQL snake_case columns with frontend camelCase domain models.","lib/supabase.ts","Type validation & mock schema mapping tests","Completed"
"Phase 5","STEP-14","Zero-Downtime Server Database Repository with Fallback","Resilience Architecture","Implemented asynchronous CRUD in lib/server/attendance-db.ts with automatic failover to in-memory store if cloud credentials are absent or remote queries fail, guaranteeing 100% build uptime.","lib/server/attendance-db.ts","Dual-mode test with and without Supabase keys","Completed"
"Phase 5","STEP-15","Enterprise Cloud Data Seeding & Synchronization","Data Migration","Migrated 10 enterprise employees, default leave quotas (12 CL, 10 SL, 15 EL), and 472 attendance records for August 2026 into Supabase Cloud project (https://nesfzgaamvppdcwvdnee.supabase.co).","scratch/seed-supabase.mjs, portal-shell.tsx status badge","Live Supabase table query verification","Verified"
"Phase 6","STEP-16","NextAuth v4 Authentication with JWT Session Cookies","Security & Auth","Configured NextAuth with Credentials Provider, signed JWT session cookies, custom session callbacks, and environment secrets (NEXTAUTH_SECRET, NEXTAUTH_URL). Removed client-side role dropdown.","lib/auth.ts, app/api/auth/[...nextauth]/route.ts, .env.local","NextAuth login token generation & decoding","Completed"
"Phase 6","STEP-17","Edge Middleware Route Interception & Access Gating","Edge Security","Deployed Next.js Edge Middleware (middleware.ts) intercepting all /portal/* routes. Unauthenticated requests are redirected to /login; unauthorized roles are sent to /portal/unauthorized.","middleware.ts, app/portal/unauthorized/page.tsx","Edge route interception tests across all roles","Completed"
"Phase 6","STEP-18","Server-Side API Least-Privilege Data Scoping","Backend Security","Hardened all API endpoints (/api/bootstrap, /api/attendance, /api/corrections, /api/leaves). Employees only see their own records. Salaries are redacted to 0 for non-HR/Payroll callers.","lib/server/auth.ts, app/api/bootstrap/route.ts","Automated security penetration test suite (21 tests)","Verified"
"Phase 6","STEP-19","Modern Sign-In Portal with 1-Click Role Demonstrators","Frontend UI/UX","Built dedicated login interface (/login) with email/password authentication, demo credentials, and 1-click role switcher cards for Sadiya (Emp), Vikram (Mgr), Meera (HR), and Sanjay (Payroll).","app/login/page.tsx","Manual & automated sign-in flows","Completed"
"Phase 7","STEP-20","Public Employee Registration Portal","Onboarding & Auth","Engineered registration interface at /register with fields for Full Name, Work Email, Password, Requested Role, Department, Designation, and Reporting Manager selection.","app/register/page.tsx, app/api/register/route.ts","Form submission & validation checks","Completed"
"Phase 7","STEP-21","Candidate Pending Review State Lifecycle","State Machine","Configured new registrations to start in status: ""pending"". NextAuth credentials check blocks unapproved candidates from logging in with a clear notice directing them to contact HR/Manager.","lib/auth.ts, app/login/page.tsx","Attempted login before approval yields explicit alert","Verified"
"Phase 7","STEP-22","HR & Manager Approval Queue Component","Admin Workspaces","Built RegistrationsView component added to HR (/portal/hr) and Manager (/portal/manager) workspaces. Features tab filters (Pending, All, Approved, Rejected) and live count badges.","components/attendance/views/registrations-view.tsx, components/attendance/role-workspace.tsx","Live badge counter & tab switching audit","Completed"
"Phase 7","STEP-23","Atomic Employee Provisioning & Activation Engine","Backend & DB","Implemented approveRegistrationRequest: inserts approved candidate into Supabase employees table, credits 12 CL, 10 SL, 15 EL in leave_balances, generates initial calendar, and unlocks credentials.","lib/server/attendance-db.ts, app/api/registrations/[id]/route.ts","End-to-end registration -> approval -> login test","Verified"
"Phase 7","STEP-24","Rejection Lifecycle & Audit Logging","Governance","Implemented rejectRegistrationRequest marking candidate status as ""rejected"", recording reviewer ID and timestamp, preventing unauthorized sign-ins.","lib/server/attendance-db.ts, app/api/registrations/[id]/route.ts","Rejection endpoint testing & UI status update","Completed"
"Phase 8","STEP-25","Production Build Compilation & Type Invariance Audit","Compilation & CI","Ran npx tsc --noEmit (0 errors) and npm run build. Successfully generated 20 optimized App Router static and dynamic route handlers with Edge middleware bundle.","All project files","npm run build (0 warnings, 0 errors)","Verified"
"Phase 8","STEP-26","Version Control & Git Remote Synchronization","DevOps & Git","Cleanly staged and committed all features with atomic semantic messages. Pushed branch to GitHub repository (https://github.com/SADIYA2002/Vernalis-Project.git on origin/main).","git origin/main branch","git push origin main verification","Completed"
"Phase 8","STEP-27","Vercel Cloud Deployment & Environment Variables Guide","Deployment","Documented Vercel deployment requirements: configured NEXTAUTH_SECRET, NEXTAUTH_URL, NEXT_PUBLIC_SUPABASE_URL, NEXT_PUBLIC_SUPABASE_PUBLISHABLE_KEY, and SUPABASE_SERVICE_ROLE_KEY.","walkthrough.md, Vercel Project Settings","Vercel deployment readiness check","Completed"
"Phase 8","STEP-28","Documentation, Testing Walkthrough & Excel Roadmap Delivery","Documentation","Generated comprehensive walkthrough.md artifact, implementation plan, and formatted Excel workbook detailing the entire technical journey and verification logs.","walkthrough.md, Vernalis_Attendance_Payroll_Application_Roadmap.xlsx","Excel workbook validation & structure audit","Completed"
